src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.10.50,192.168.10.3,56108,3268,6,2017-07-07 13:59:50,96.345565,102.66170528970379,0.44631011297717754,0.3009998436357709,0.14531026934140664,29,14,7959,1932,469,66,274.44827586206895,201.38016650739115,138,138,138.0,0.0,469,66,230.02325581395348,177.30901790732514,31438.487831260143,580,280,20,15,2.293942023809524,16.399772,0.0,5.621771439114511,96.345565,16.399772,0.0,3.440913035714286,6.592408033128624,96.34522,16.40011,3e-06,7.411170769230771,8.011675995548739,15,14,0,0,0,0,0,29,43,0,0,0.4827586206896552,230.02325581395348,377,2078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.44827586206895,138.0,0,29,14,7959,1932
192.168.10.50,192.168.10.3,42144,389,6,2017-07-07 13:59:50,96.345392,138.1176590158043,0.4463109143818731,0.3010003841180074,0.14531053026386564,29,14,7959,5348,469,66,274.44827586206895,201.38016650739115,382,382,382.0,0.0,469,66,309.4651162790698,172.88810050073985,29890.29529475392,580,280,20,15,2.2939379047619046,16.399782,0.0,5.621779774414212,96.345392,16.399782,0.0,3.440906857142857,6.592419769872282,96.34508000000001,16.40011,4e-06,7.411160000000001,8.011663304216777,15,14,0,0,0,0,0,29,43,0,0,0.4827586206896552,309.4651162790698,955,2078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.44827586206895,382.0,0,29,14,7959,5348
192.168.10.9,224.0.0.252,63210,5355,17,2017-07-07 14:00:34,0.100126,16079.739528194474,229.7105646884925,229.7105646884925,0.0,23,0,1610,0,70,70,70.0,0.0,0,0,0,0.0,70,70,70.0,0.0,0.0,460,0,20,23,0.004551181818181819,0.100055,0.0,0.02084064389957183,0.100126,0.100055,0.0,0.004551181818181819,0.02084064389957183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,70.0,0,0,0,0,0,0,0,0,0,0,616.0,22.0,0,0,6152.248167309190420070710904,0,70.0,0,0,23,0,1610,0
192.168.10.9,192.168.10.3,137,137,17,2017-07-07 14:00:35,42.306223,87.97760083664286,0.874575827768884,0.4491065061515891,0.4254693216172949,19,18,1910,1812,110,92,100.52631578947368,8.987525981531183,104,98,100.66666666666667,2.9814239699997196,110,92,100.5945945945946,6.7682065150408235,45.808619430241045,380,360,20,19,1.175172861111111,28.899219,0.0,4.7599553752995245,42.306135000000005,28.89937,0.0,2.350340833333333,6.523261426694483,42.305997,28.89937,3e-06,2.488588058823529,6.686705367576845,0,0,0,0,0,0,0,0,0,0,0,0.9473684210526315,100.5945945945946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.52631578947368,100.66666666666667,0,19,18,1910,1812
192.168.10.9,192.168.10.3,49429,53,17,2017-07-07 14:00:35,0.000245,2918367.3469387754,20408.163265306124,12244.897959183674,8163.265306122449,3,2,369,346,123,123,123.0,0.0,173,173,173.0,0.0,173,123,143.0,24.49489742783178,600.0,60,40,20,3,6.125e-05,0.000237,0.0,0.00010148244922152795,4e-06,4e-06,0.0,2e-06,2e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,143.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.0,173.0,0,3,2,369,346
192.168.10.9,192.168.10.3,65512,53,17,2017-07-07 14:00:35,0.000225,3177777.777777778,22222.222222222223,13333.333333333334,8888.888888888889,3,2,369,346,123,123,123.0,0.0,173,173,173.0,0.0,173,123,143.0,24.49489742783178,600.0,60,40,20,3,5.625e-05,0.000129,0.0,4.634854366644113e-05,4.8e-05,4.8e-05,0.0,2.4e-05,2.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,143.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.0,173.0,0,3,2,369,346
192.168.10.9,192.168.10.3,64531,53,17,2017-07-07 14:00:35,0.000145,2772413.793103448,34482.75862068965,20689.655172413793,13793.103448275862,3,2,222,180,74,74,74.0,0.0,90,90,90.0,0.0,90,74,80.4,7.8383671769061705,61.44000000000001,60,40,20,3,3.6249999999999993e-05,0.000137,0.0,5.819095720126969e-05,4e-06,4e-06,0.0,2e-06,2e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,80.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,90.0,0,3,2,222,180
192.168.10.9,192.168.10.3,56588,53,17,2017-07-07 14:00:35,0.000184,2184782.6086956523,27173.91304347826,16304.347826086956,10869.565217391304,3,2,222,180,74,74,74.0,0.0,90,90,90.0,0.0,90,74,80.4,7.8383671769061705,61.44000000000001,60,40,20,3,4.6e-05,8.6e-05,0.0,3.055323223490438e-05,4.9e-05,4.9e-05,0.0,2.45e-05,2.45e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,80.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,90.0,0,3,2,222,180
192.168.10.9,192.168.10.3,56590,389,17,2017-07-07 14:00:35,0.000152,6763157.894736841,32894.73684210526,19736.842105263157,13157.894736842105,3,2,618,410,206,206,206.0,0.0,205,205,205.0,0.0,206,205,205.6,0.4898979485566356,0.24,60,40,20,3,3.8e-05,0.0001,0.0,4.044749683231337e-05,4e-06,4e-06,0.0,2e-06,2e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,205.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.0,205.0,0,3,2,618,410
192.168.10.9,192.168.10.3,56591,389,17,2017-07-07 14:00:35,0.000173,6687861.2716763,28901.73410404624,17341.040462427743,11560.693641618496,3,2,747,410,249,249,249.0,0.0,205,205,205.0,0.0,249,205,231.4,21.555509736491967,464.64,60,40,20,3,4.325e-05,7.7e-05,0.0,2.7634896417392267e-05,4.8e-05,4.8e-05,0.0,2.4e-05,2.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,231.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.0,205.0,0,3,2,747,410
